id,bucket,y_true,y_pred,lo,hi
1,mid,4.596920967102051,5.070556640625,3.970435352735622,6.170677928514378
10,low,1.7916760444641113,2.0093994140625,1.426552940059352,2.592245888065648
103,high,8.690258026123047,10.08642578125,6.764769315719603,13.408082246780397
11,low,2.452816963195801,2.48980712890625,1.906960654903102,3.072653602909398
113,low,1.970270037651062,2.060546875,1.477700400996852,2.643393349003148
116,high,8.224547386169434,6.33892822265625,3.0172717571258523,9.660584688186647
129,mid,4.360132217407227,5.2553558349609375,4.15523454707156,6.355477122850315
132,high,8.712574005126953,8.5072021484375,5.185545682907103,11.828858613967897
160,low,3.4205689430236816,3.787445068359375,3.204598594356227,4.370291542362523
162,high,7.444029808044434,8.290557861328125,4.968901395797728,11.612214326858522
163,mid,6.186408996582031,6.145561218261719,5.045439930372341,7.2456825061510965
184,mid,5.754227161407471,5.8665771484375,4.766455860548122,6.966698436326878
199,mid,5.492950916290283,5.26861572265625,4.168494434766872,6.368737010545628
216,mid,4.7197442054748535,4.658935546875,3.558814258985622,5.759056834764378
217,high,7.575884819030762,5.6240739822387695,2.302417516708372,8.945730447769167
222,mid,4.998966217041016,4.84375,3.743628712110622,5.943871287889378
223,mid,5.340489864349365,5.787321090698242,4.687199802808864,6.88744237858762
226,low,3.948111057281494,4.1291961669921875,3.5463496929890397,4.712042640995335
236,low,3.4955270290374756,3.6289520263671875,3.0461055523640397,4.211798500370335
238,mid,6.157790184020996,5.920188903808594,4.820067615919216,7.0203101916979715
249,mid,5.4104461669921875,5.8287353515625,4.728614063673122,6.928856639451878
252,mid,6.574048042297363,5.731689453125,4.631568165235622,6.831810741014378
261,mid,5.3792619705200195,4.6273193359375,3.527198048048122,5.727440623826878
265,mid,6.598658084869385,5.3701171875,4.269995899610622,6.470238475389378
267,mid,5.704744815826416,5.33551025390625,4.235388966016872,6.435631541795628
269,mid,5.772295951843262,5.258331298828125,4.158210010938747,6.358452586717503
271,low,1.413017988204956,1.116851806640625,0.534005332637477,1.699698280643773
274,mid,5.887199878692627,6.75933837890625,5.659217091016872,7.859459666795628
278,low,3.782357931137085,4.130462646484375,3.547616172481227,4.713309120487523
286,low,3.2788760662078857,3.349853515625,2.767007041621852,3.932699989628148
295,mid,4.40424919128418,3.94287109375,2.842749805860622,5.042992381639378
